en,ko
"Although I may be unhappy, I won't commit suicide.",내가 불행할지언정 자살은 안할 거야.
Why are you always late for school?,당신은 왜 항상 학교에 늦습니까?
Isn't it true?,사실이 아닙니까?
Would you mind answering a few questions?,몇 가지 질문에 답할 의향 있어?
"You know that that isn't possible, don't you?",그게 불가능하단 건 알고 있지?
Don't joke about that.,농담하지 마세요.
My hobby is collecting old coins.,내 취미는 오래된 동전을 수집하는 것이다.
I've been trying to reach you all day.,나는 오늘 하루종일 너에게 연락하려고 했어.
Tom loves to study music.,톰은 음악 공부하는 걸 좋아해.
How many years have you been studying judo?,유도 배우는 데 얼마나 걸렸어요?
Everything changed.,모든 것이 변했어.
I gave Tom the keys.,내가 톰한테 열쇠를 줬어.
Why are you following us?,저희를 왜 따라오십니까?
We went to the river.,우리는 강으로 향했다.
I assure you this is only temporary.,이건 단지 임시방편이라니까.
No one speaks this language anymore.,아무도 이 언어를 더 이상 쓰지 않는다.
I don't lie.,나는 거짓말 하지 않습니다.
Anyone home?,누구 집에 있어?
This machine was out of order for a while.,이 기계가 잠시 고장났었다.
The heart is a muscle.,심장은 근육이야.
Do you want to help?,도와줬으면 좋겠어?
I know that Tom is a very good chess player.,나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.
I don't think that it's a big problem.,이게 큰 문제일 것 같진 않은데.
You should become a vegetarian.,너는 채식주의자가 되어야 해.
I'm happy we're working together.,같이 일할 수 있어서 행복해.
Tom hopes that Mary won't get deported.,톰은 메리가 추방되지 않길 바란다.
Step back.,물러서.
We ought to leave now.,우리는 지금 떠나야 한다.
Tom initialed the document.,탐은 그 문서에 서명했다.
Is nicotine as addictive as heroin?,니코틴이 헤로인만큼 중독성 있어?
Do you want to do it?,너는 하고 싶니?
Mary is the kind of woman I'd like to marry.,메리는 내가 결혼하고 싶은 타입의 여자다.
You don't need to prove anything to me.,나한테 아무것도 증명할 필요는 없어.
Can I help you?,제가 좀 도와 드릴까요?
Is that a scientific fact?,이거 과학적인 사실이야?
Hide.,숨어.
That's my main focus.,그게 내 주된 관심사야.
I bought a new house.,나는 새집을 샀어.
I will probably get up early tomorrow.,아마 내일 일찍 일어날 거예요.
Wonderful!,멋져!
Mr. Jackson is our science teacher.,잭슨씨는 우리의 과학 선생님이야.
I knew that Tom didn't want to do that again.,난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.
Tom is open-minded.,톰은 개방적이야.
We're running out of ammo.,탄약이 바닥나고 있어.
Do you like rap?,랩 좋아해요?
Marriage is the union of a man and woman.,남녀간의 결합을 결혼이라고 하지.
This is a very old book.,이것은 엄청 오래된 책이다.
I wish I could go to the party with you.,너랑 같이 파티 갔으면 좋았을텐데
Are you saying that I'm a liar?,제가 거짓말쟁이라고 말씀하시는 건가요?
Tom and Mary became very good friends.,톰과 메리는 아주 좋은 친구가 되었다더라.
I think everyone did really well.,다들 정말 잘 한 것 같아.
What did you do after school yesterday?,너 어제 학교 끝난 다음 뭐했어?
Do you know what happened?,무슨 일인지 알고 계신가요?
How annoying!,이렇게 짜증날 수가!
What does that word mean?,그 말은 무슨 뜻입니까?
Tom is living alone in a hut on the beach.,톰은 해변에 있는 오두박에서 혼자 살아.
Would it be possible for me to talk to Tom?,톰과 얘기 좀 할 수 있을까요?
I'm almost ready.,나는 거의 준비되었다.
My life would be meaningless without you.,너 없이는 내 인생은 의미가 없었을 거야.
"If I had wings, I would fly to you.",나에게 날개가 달렸다면 너에게 날아갈 것이다.
Can I ask why?,이유를 물어봐도 돼?
I can't stand these people.,나는 저런 사람들을 참을 수 없어.
That hurts.,그거 아프네.
Tom is standing in the back of the room.,톰은 방 뒷쪽에 서 있다.
I know why Tom was crying.,난 톰이 왜 울었는지를 알고있어.
French bread is delicious.,프랑스 빵은 맛있습니다.
My stomach's full.,배가 찼다.
The last time I came here was a year ago.,내가 마지막으로 여기에 왔었을 때가 일년 전이야.
Tom coughed.,톰은 기침했어.
Tom couldn't concentrate.,톰은 집중할 수 없었어.
The cat is still very young.,그 고양이는 아직도 많이 어려.
I just can't get used to this.,나는 단지 이것에 익숙해질 수는 없다.
Tom is not a liar.,톰은 거짓말쟁이가 아니야.
You need to drink more water.,너 물 좀 더 마셔야 겠어.
The government tends to control the media.,정부는 매체를 조종하는 경향이 있다.
Who else does Tom work with?,또 누가 톰이랑 일해?
Everyone screamed.,모두 비명을 질렀어.
The boy fell from the bridge.,그 소년은 다리에서 추락했다.
Does Tom like you?,톰은 너 좋아해?
Are you seriously thinking about quitting your job?,정말로 직장을 그만둘 생각이신가요?
I hope you tore up my last letter.,내 마지막 편지는 찢어 버렸길 바란다.
I'm older than your brother.,나는 네 형제보다 나이가 많다.
Tom is shouting something.,톰은 뭔가를 외치고 있어.
My daughter is still quite young.,내 딸은 아직 꽤 어려.
I wonder if Tom noticed the difference.,톰이 다른 점을 눈치챘는지 의문스러워.
I meant the opposite.,내 의도는 그 반대였다.
I want to be a leader that people can respect.,난 사람들이 존경할 수 있는 지도자가 되고 싶어.
Tom is living in the apartment that I used to live in.,톰은 내가 한때 살았던 아파트에 살고 있어.
Is Tom still sleeping?,톰은 아직도 자고 있어?
They won.,그들이 이겼어.
"If you study hard, you'll pass the exam.",공부를 열심히 하면 시험에 통과할 거야.
Do you want him?,그 남자를 원하십니까?
I like reading.,독서를 좋아합니다.
There is nothing you have to be ashamed of.,부끄러워 할 거 없어요.
Knowledge is power.,아는 것이 힘이다.
Watch me closely.,나를 가까이서 봐.
You're late.,너 늦었어.
Human beings are social creatures.,인간이란 사회적인 동물이야.
Water reflects light.,물은 빛을 반사한다.
Is one thousand yen enough?,1000엔으로 충분한가요?
This sounds familiar.,이 소리는 귀에 익다.
This is my school.,여기가 우리 학교야.
Tom took a cab.,톰은 택시를 잡았다.
My daughter is not yet three years old.,내 딸은 아직 3 살이 안 됐어.
"Tea, please.",차 주세요.
I wish that I could go to the party with you.,너랑 같이 파티 갔으면 좋았을텐데
This isn't a very good brandy.,썩 좋은 브랜디는 아니다.
What in the world do you think you're doing?,세상에 네가 뭘 하고 있다고 생각하는 거니?
Tom said that Mary seemed to be drunk.,톰이 메리가 술에 취해 보인다고 말하더라.
Why do you know so much about Boston?,당신은 보스턴에 대해 어떻게 그렇게 잘 아세요?
Don't you have a driver's license?,운전 면허 없으세요?
This dictionary is expensive.,이 사전은 비싸다.
I really don't want to miss that.,나는 정말로 그것을 놓치고 싶지 않다.
Do you suffer from depression?,우울증에 앓고 있어?
I'm religious.,난 신앙이 있어.
Summer is the season I like best.,여름은 내가 제일 좋아하는 계절이다.
Your cat scratched me.,네 고양이가 날 할퀴었어.
Tom couldn't say anything.,톰은 어떠한 말도 할 수 없었다.
Could I speak to Tom?,톰에게 말을 걸어도 될까?
I'm going to move next month.,나는 다음 달에 이동할 것이다.
Tom is having a tough time.,톰은 힘든 시간을 보내고 있어.
Don't lie. Be honest.,"거짓말 하지 말고, 솔직해져 봐."
It was a mistake.,그건 실수였어.
I'm a human being.,난 인간이야.
I want to learn Chinese next year.,나는 내년에 중국어를 배우고 싶다.
Anybody home?,집에 누군가 있어?
I saw Tom on Monday.,톰을 월요일에 봤어.
We'll dance.,우리는 춤출 것이다.
Tom can't come to work today because he doesn't feel well.,톰은 몸이 좋지 않아서 오늘 일하러 올 수 없습니다.
I no longer like you.,나는 너를 더이상 좋아하지 않아
Tom can swim well.,톰은 수영을 잘 한다.
Tom had a good time in Boston.,톰은 보스턴에서 좋은 시간을 보냈다.
Why should we hire you?,왜 우리가 당신을 고용해야 하는 거죠?
I could barely open my eyes.,난 눈을 거의 뜰 수 없었어.
Please remain calm.,계속해서 조용히 해 주세요.
We can't give up.,포기할 수 없어요.
That's a pathetic excuse.,구차한 변명이네요.
Can I come some other time?,나중에 한번 다시 와도 돼?
They thanked God.,그들은 신께 감사했다.
Return immediately.,즉시 돌아와.
Jackson fell from his horse.,잭슨은 자기 말에서 떨어졌어.
Someone ate all my cupcakes.,누가 내 컵케익 다 먹었어
Tom will never catch me.,톰은 날 절대 따라잡을 수 없겠지.
He will also go.,그도 갈 것이다.
Tom looks like he's been up all night.,톰은 밤을 샌 것처럼 보인다.
It'll become much warmer in March.,3월에는 훨씬 따뜻해질 것이다.
Speak clearly.,분명하게 말해.
It's a full moon.,보름달이야.
I want Tom to understand why he has to leave.,톰이 자신이 왜 떠나야 하는지를 이해했으면 좋겠어.
Is it that important to you?,그게 너한테 중요해?
"You're lonely, aren't you?",너 외롭구나. 그치?
You took the words right out of my mouth.,바로 그게 내가 하고 싶은 말이었다.
There was one witness.,목격자가 한 명 있었다.
We're Canadians.,우리는 캐나다 사람이다.
I forgot to pay the rent.,렌트비를 내는 것을 깜빡했다.
Nobody's perfect.,완벽한 사람은 없어.
Have you made your decision?,결정 했니?
I have to look after this cat.,난 이 고양이를 돌봐야 해.
Tom likes butter too much.,톰은 버터를 너무 좋아하네.
She is not my sister but my mother.,그녀는 내 언니가 아니라 어머니예요.
Tom is eating potato chips.,톰은 감자칩을 먹고 있어.
All participants will receive a T-shirt.,모든 참가자는 티셔츠를 받을 것입니다.
Tom wept.,톰이 눈물을 흘렸어.
Why don't you leave me alone?,날 좀 가만히 내버려 둬.
Tom filled the bathtub with warm water.,톰은 욕조에 따뜻한 물을 부었어.
French bread is delicious.,프랑스 빵은 맛있어.
Isn't it true?,사실이 아냐?
Do you know who I am?,내가 누군지 알아?
The sun melted the snow.,헷빛이 눈을 녹였어.
They asked Tom to play the guitar.,톰보고 기타를 쳐달라고 부탁했어.
Let's hear the rest of the story.,이야기를 마저 들어보자.
Finish this.,이걸 끝내.
Is there anything you want us to send you from home?,우리가 집에서 너에게 보내줬으면 하는 거 없니?
She returned a book to the library.,그는 책을 도서관에 반납했다.
She looks unhappy.,그녀는 기분이 나빠 보인다.
Tom may use my video camera if he wants to.,"톰이 원한다면, 내 비디오 카메라를 쓸 수 있다."
Nobody asked.,아무도 안 물어봤어.
Her eyes were filled with tears.,그녀의 눈이 눈물로 가득했다.
"Which do you like better, meat or fish?",고기랑 생선 둘 중 뭐가 좋아?
The weather is good today.,오늘은 날씨가 좋다.
Those glasses suit you.,이 안경이 너에게 맞다.
You have to speak French here.,너는 여기서 프랑스어로 말해야 한다.
I didn't want to appear weak.,약해 보이고 싶지 않았어.
Paris is the capital of France.,파리는 프랑스의 수도다.
I love you more than you love me.,난 당신이 날 사랑하는 것보다 더 당신을 사랑한다.
How about stopping the car and taking a rest?,차를 멈추게하고 쉬는게 어때?
"So, you're not coming?","그래서, 안 온다고?"
Tom won't leave until he gets what he wants.,톰은 원하는 걸 얻을 때까지는 떠나지 않을 거야.
What did Tom give you for your birthday?,톰이 너한테 생일 선물로 뭘 줬어?
Tom bought a horse.,톰은 말을 샀어.
Tom still wants to go to Boston.,톰은 아직도 보스턴에 가고 싶어 한다.
I don't envy you.,난 네가 부럽지 않아.
Have you ever been robbed?,한번이라도 도둑맞았던 적이 있어?
Where can we park the car?,우린 어디에 차를 주차할 수 있을까?
These curtains are ugly.,이 커튼은 흉하게 생겼다.
I only speak French with Tom.,나는 톰하고는 프랑스어만 쓴다.
Flowers bloom.,꽃이 피네.
I can't tell you much yet.,아직은 많은 것을 말해 줄 수는 없어.
Tom is a decent human being.,톰은 제대로 된 인간이야.
She was naive.,그는 순진했다.
I must obey.,나는 복종해야 한다.
Tom is wearing a blue coat.,톰은 파란색 코트를 입고 있어.
I'm still a member.,난 아직도 회원이야.
I like working.,나는 일하는 것이 좋다.
I told Tom not to use those.,난 톰한테 그걸 쓰지 말라고 했는데.
I have nowhere to sleep tonight.,난 오늘밤 잘 곳이 아무데도 없어.
They escaped.,그 사람들은 도망 쳤어.
I resign.,난 그만두겠어.
I'm in jail.,나는 감옥에 갇혔다.
I've been dying to see Tom.,난 톰이 너무 보고 싶어 죽겠어.
Do you like cooking?,요리 좋아해요?
Company regulations mandate that workers use protective eyewear.,회사 규칙에 따르면 근로자가 보호 안경을 쓰도록 되어 있어.
"Sorry, but you can't go in there.","미안한데, 거기 들어가면 안 돼."
She always speaks English.,그녀는 항상 영어를 쓴다.
Be sure to lock the door before you go to bed.,침대에 눕기 전에 꼭 문을 잠궈 두시기 바랍니다.
I run faster than Tom.,나는 톰보다 빠르게 달릴 수 있어.
This is yours.,이건 네 것이다.
What are you hinting at?,무슨 말을 하려는 거야?
I don't go to school by the bus.,난 버스로는 학교에 가지 않아.
When did you come to Boston?,보스턴에 언제 왔어?
Have you ever been to Disneyland?,디즈니랜드에 가본 적 있어?
I tried to make friends.,난 친구를 만드려고 했어.
Tom learned a few words in French.,톰은 프랑스어를 몇 마디 배웠어.
Where did he go?,그는 어디로 갔는가?
What do you have for breakfast?,아침으로 뭘 먹을래?
Allow me to demonstrate my invention to you.,내 발명품 시연하게 해주라.
It was a rhetorical question.,이건 수사적인 질문이었어.
Wait for us in the lobby.,로비에서 기다려 주세요.
Tom and Mary said they were on our side.,톰과 메리는 우리의 편이라고 말했어.
I'll follow you wherever you go.,네가 어딜 가든 따라갈 것이다.
This is your house.,이곳은 당신의 집이다.
I hate myself sometimes.,난 가끔 내 자신이 싫어.
Tom will never see Mary again.,톰은 메리를 더 이상 안 본다더라.
I've read your book. It was very interesting.,당신 책을 읽어봤었어요. 꽤 흥미롭더라구요.
I'll do it tomorrow.,내일 할게.
Keep searching.,계속 찾고 있어봐.
Tom learned French in school.,톰은 학교에서 프랑스어를 배웠다.
Tom went there.,톰이 거기로 갔어.
I'd like to reserve a table for two.,두 명 자리를 예약하고 싶어요.
Look at us.,우리를 보세요.
I prefer spring to autumn.,나는 가을보다 봄이 좋아.
My clock needs to be fixed.,내 시계는 고처야 한다.
My father passed away two years ago.,아버지는 2년 전에 돌아가셨다.
My brother is out.,형이 나갔다.
She's a trainee.,그녀는 교육생이다.
I don't know who to trust.,나는 누구를 믿어야 할 지 모른다.
Do you study French?,너는 프랑스어를 공부하니?
Something was happening.,뭔가가 일어나고 있었어.
Tom knows something you don't.,톰은 네가 모르고 있는 걸 알고 있어.
I live in a small apartment.,나는 작은 아파트에서 살아.
I look forward to seeing you again very soon.,널 곧 다시 만나길 고대하고 있어.
I didn't come by taxi.,택시로 안 왔어.
I think that everything's fine now.,이제 별일은 없을 것 같아.
Tom can't speak French. Tom can't speak Spanish either.,톰은 프랑스어를 못해. 톰은 스페인어도 못해.
Don't you like cats?,고양이를 좋아하지 않아?
Tom says that his teachers hate him.,톰이 말하길 선생님이 자신을 싫어한대.
My husband is a teacher.,우리 남편은 선생님이야.
I want to do something.,뭔가 하고 싶다.
Were you talking about me?,저에 대해 이야기하고 있었나요?
People who ignore history tend to repeat it.,역사를 무시하는 사람들은 역사를 되풀이하게 된다.
Tom is going to stay there as long as possible.,톰은 가능한 한 거기에 남아 있을 거야.
I'm a black belt in karate.,난 공수도 1단이다.
Tom changed his mind at the last minute.,톰은 마지막 순간에 마음을 바꿨다.
She has abundant hair.,그녀는 머리가 풍성하다.
I didn't have time to watch TV yesterday.,나는 어제 TV 볼 시간이 없었다.
There are no stars tonight.,오늘 밤엔 별이 안보이네.
My older sister plays the piano every day.,우리 누나는 날마다 피아노를 친다.
Studying when you're sleepy is a waste of time.,졸릴 때 공부하는 건 시간 낭비야.
These three books belong to Tom.,이 책 세 권은 톰 거야.
Tom looks young for his age.,톰은 나이에 비해 어려 보여.
What did Tom say exactly?,톰이 정확히 뭐라고 말했어?
He won't let anybody sit in his armchair.,그는 아무도 그의 안락의자에 못 앉게 할 것이다.
Nobody backed up what I said.,아무도 내 말을 지지해주지 않았다.
I never wanted this.,난 절대 이런 거 원한 적 없어.
"""Horses"" is the plural of ""horse.""","""말들""은 ""말""의 복수형이야."
Tom is writing a novel now.,톰은 지금 소설을 쓰고 있다.
No one listens anymore.,더이상 아무도 듣지 않는다.
Keep focused.,계속 집중하고 있어봐.
He's an Englishman.,그는 잉글랜드 사람이다.
I wanted Tom to sing my favorite song.,난 톰이 내가 좋아하는 노래를 불러줬으면 했어.
Tom left us some food and water.,톰은 우리에게 약간의 음식과 물을 남겨주었다.
I worked hard in order to support my family.,나는 가족에 보탬이 되도록 열심히 일했다.
Tom doesn't cut any corners.,톰은 요령 피우지 않는다.
Have you been in Boston for a long time?,오랜 기간 보스턴에 있어본 적 있어?
I never should've come to Australia.,난 절대 호주에 오지 말았어야 했는데.
Mary was kidnapped by pirates.,메리는 해적에게 납치됐다.
I'm a lawyer.,나는 변호사다.
I have some strawberries. Do you want some?,딸기가 있는데 너 먹고 싶니?
Was your elementary school a large school?,네가 다니던 초등학교는 큰 학교야?
I think this is important.,이건 중요한 것 같아.
Anything new?,새로운 것이라도 있어?
Tom hasn't finished his homework yet.,톰은 아직 숙제를 안 했다.
Call this number.,이 번호로 전화해.
I don't sleep a lot.,나는 잠이 별로 없어.
She disappeared.,그가 사라졌어.
That's a lovely idea.,좋은 생각이네.
I'm your teacher.,난 네 선생이다.
I prefer coffee with milk.,나는 커피에 우유를 타는 게 좋다.
I'll pay.,제가 내겠습니다.
Stop worrying.,걱정 그만해.
Tom washes his hands more than thirty times a day.,톰은 하루에 삼십 번 이상 손을 씻어.
I go to Boston three or four times a year.,나는 일년에 서너번 보스톤에 간다.
My watch needs to be repaired.,내 시계는 수리받아야 한다.
I study Korean.,한국말을 공부합니다.
I'm ugly.,나는 못 생겼다.
Your safety isn't our responsibility.,너의 안전은 우리가 책임지지 않아.
The problem is that we don't have a lot of money.,문제는 우리가 가진 돈이 많지 않다는 것이다.
You have to wear a helmet to protect your head.,머리 보호를 위해서 헬멧을 써야 한다.
"It's not that I want a girlfriend, I just want to be in love.",난 여자친구를 갖고 싶은 게 아니라 사랑을 하고 싶은 거야.
Tom hates me.,톰은 나를 싫어한다.
I'm sure Tom won't be here tonight.,오늘밤 톰이 여기 없을 거라고 확신한다.
This work is not necessarily easy.,이 일은 반드시 쉽지만은 않다.
I think that Tom knows something.,톰이 뭔가를 알고 있는 것 같아.
Is anybody home?,누구 집에 있어요?
"Ticket, please.",티켓 부탁해.
"At the most, the trip will cost $1,000.","이 여행은 기껏해야 1,000 달러일 거야."
"It was Tom's idea, not mine. Don't blame me.",내가 아니라 톰 생각이야. 내 탓 하지 마.
"""Natto"" smells awful, but tastes delicious.",낫또는 냄새가 독하지만 맛이 있다.
Who?,누구?
I want you to meet someone.,나는 네가 다른사람을 만났으면 해.
This house is not for sale.,이 집은 팔려고 내놓은 집 아니에요.
Let's be friends forever.,언제까지나 친구로 지내자.
Sometimes I hate myself.,가끔 내 자신이 싫어.
I asked Tom why he wanted to study French.,나는 톰에게 왜 프랑스어를 배우고자했는지 물어봤다.
Please report what's happening.,현재 상황을 보고하십시요.
The rebels took control of the capital.,반역자들이 수도를 접수했다.
I am left with all the responsibility.,나는 모든 책임을 안은 채 남겨졌다.
Leave the door open.,문을 열어둬.
I'm not suicidal.,나는 자살하고 싶지 않다.
I think this is Tom's house.,이건 톰의 집인 것 같아.
Just keep it.,그냥 그거 가져.
A cat was sitting on the chair.,고양이 한 마리가 의자 위에 앉아 있다.
Tom shot himself this morning.,톰은 오늘 아침에 스스로를 쐈다.
I want a single room if possible.,되도록 일인실이면 좋겠어.
My name is Tom.,제 이름은 톰입니다.
Tom is taking a rest.,톰은 휴식을 취하고 있다.
Did you learn it from him?,그 사람한테서 배웠어?
That was the only way we could do that.,그게 우리가 할 수 있는 유일한 방법이었습니다.
Tom roasted the marshmallow over the fire.,톰이 마시멜로를 불에 구웠어.
Nobody's perfect.,그 누구도 완벽하지 않는다.
I have a sister.,나에게는 여동생이 있다.
Tom asked for a discount.,톰은 값을 깎아달라고 했다.
That red sweater looks good on you.,그 빨강 스웨터가 너한테 잘 맞아 보인다.
No one can foretell the future.,아무도 미래를 예언할 수 없다.
What a big supermarket!,슈퍼마켓 진짜 크다!
I definitely won't do that again.,다시는 그러지 않을 것이다.
I don't feel like watching TV tonight.,나는 오늘 밤 TV를 볼 기분이 아니다.
I know a lot about this computer.,난 이 컴퓨터에 대해 많은 것을 알고있어.
Tom went to bed very late.,톰은 엄청 늦게 잤어.
Come with me.,나랑 같이 가자.
I'd like three of these.,이거 3개 주세요.
I think that what you're doing is wrong.,네가 하고 있는 것은 틀린 것 같아.
I can't move my legs.,다리를 움직일 수가 없다.
He was brave.,그는 용감했다.
I can't ask Tom right now.,난 지금 당장은 톰한테 물어볼 수 없어.
Nothing could sway his conviction.,그 어떤 것도 그의 신념을 꺾을 수 없었다.
What about a glass of beer?,맥주 한 잔 어때요?
You don't say.,그럴리가.
Tom has decided to study abroad.,톰은 해외에서 공부하기로 결심했대.
Turn on the radio.,라디오를 켜세요.
Tom understands physics.,톰은 물리를 이해해.
Who died?,누가 죽었어?
He invited me to the party.,그사람이 나를 파티에 초대했어.
I work in a factory.,나는 공장에서 일한다.
Show them what you can do.,당신이 할 수 있는 일을 그들에게 보여줘라.
Company regulations mandate that workers use protective eyewear.,회사 내규에 의하면 근로자가 보호 안경을 사용하도록 되어 있다.
There's no chance that he'll recover.,그는 회복될 가능성이 없습니다.
Take any train from platform 5.,타는 곳 5번에서 아무 열차나 타세요.
Tom was incredibly bored.,톰이 엄청나게 지루해했어.
Mary is Tom's cousin.,메리는 톰의 사촌이다.
Tom is married to a Canadian woman named Mary.,톰은 메리라는 캐나다 여성과 결혼했어.
It'll be hot.,더워질거야.
Do you know that man?,저 남자를 아는가?
His face turned white.,그의 얼굴이 창백해졌다.
Sit down!,앉아!
You're making a big mistake.,너 큰 실수 하는 거야.
That depends on the context.,문맥에 따라 달렸다.
Tom was three years old when his mother was killed in a traffic accident.,톰은 어머님이 교통사고로 돌아가셨을 때 세 살이었어.
You completely ignored me.,넌 날 완전히 무시했어.
I smelled bacon.,나는 베이컨의 냄새를 맡았다.
She majors in medicine.,그녀는 의학 전공이다.
I'm sorry.,죄송합니다.
I really mean it.,정말 진심이야!
"For the first time in ages, I slept late.",오랜만에 늦게까지 잤는데.
I smell blood.,피 냄새가 납니다.
The problem is that we don't have a lot of money.,문제는 우리에게 돈이 별로 없다는 것이다.
Stop filming.,그만 찍으세요.
He gave me food and money as well.,그는 나에게 먹을 것은 물론 돈도 주었다.
Hurry home.,어서 집으로 돌아가세요.
Have you ever been in prison?,너 교도소에 간 적 있어?
My sister asked my father to buy her a new bicycle.,내 여동생은 아버지에게 새 자전거를 사 달라고 부탁했다.
We need experts.,우리에겐 전문가가 필요해.
You should quit smoking.,당신은 금연해야 한다.
It's not always possible to eat well when you're traveling in this part of the world.,"당신이 세계를 여행하는 동안, 항상 잘먹는 것이 가능하지는 않습니다."
You're a genius.,너 천재구나.
Tom is in the same boat.,톰은 같은 처지다.
Why do you hate women?,왜 여자가 싫은 거야?
"Champagne, please.",샴폐인 부탁해.
Begin.,시작해.
These earphones don't work.,이 이어폰은 작동이 되지 않는다.
"All of us have some interest in history. In a sense, we are all historians.",우리 다 역사에 관심이 있어서 어떤 의미로 우리는 모두 역사가다.
Tom knew Mary was going to be there.,톰은 메리가 거기에 가 있을 거라는 걸 알고 있었어.
"A week from today, I'll be in England.","오늘부로 일주일 후, 난 영국에 있을 거야."
Happy New Year!,새해 복 많이 받아.
I'm sorry to interrupt you.,방해해서 미안해.
Tom is lonely because he has no one to play with.,톰은 같이 놀 사람이 없어서 외로워하고 있어.
How fascinating!,이렇게나 매력적이라니!
I don't think Tom knows Mary very well.,톰이 메리를 아주 잘 안다고 생각하진 않는데.
Take care.,주의하세요.
Tom is sitting on the porch.,톰은 현관에 앉아 있어.
She came home very late.,그 사람은 집에 아주 늦게 왔어.
Is Tom happy?,톰은 행복할까?
I can't answer your question.,나는 당신의 질문에 답할 수 없어요.
I'm absolutely sure!,틀림없어!
Tom is a Muslim.,톰은 이슬람교 신자다.
I don't want to go to school.,난 학교에 가기 싫어.
Have you ever been inside this cave?,이 동굴 안에 들어가본 적 있어?
How do you feel?,너는 어떤 기분이니?
Tom was fired because he wasn't able to do the job he'd been hired to do.,톰은 그가 하기 위해 고용되었던 일을 할 수 없었으므로 해고되었다.
Tom wouldn't let them in.,톰은 그들을 못 들어 오게 했다.
She became scared when she noticed the man following her.,그녀는 그 남자가 자신을 따라온다는 것을 알아차렸을 때 무서워했다.
Tom told me Mary is leaving tomorrow.,톰이 메리가 내일 떠난다고 나한테 말했어.
Tom is bigger than all the other boys in his class.,톰은 반에 있는 남자애들 중에서 가장 커.
We'd been warned.,우린 경고 받았었어.
The footprints continued down to the river.,발자국은 강까지 이어졌다.
It was unavoidable.,어쩔 수 없었다.
I thought my head would explode.,머리가 터질 거 같아
Please feel free to help yourself to anything in the fridge.,냉장고에 있는 거 아무거나 편하게 마음껏 드세요.
I saw Tom waiting.,톰이 기다리는 걸 봤어.
Machines that his company produces are superior to ours.,그의 회사가 생산하는 기계가 우리것보다 뛰어나다.
Birds fly.,새가 날고 있네.
Tom kicked the ball really hard.,톰은 정말 세게 공을 찼습니다.
How do you feel?,기분이 어떠십니까?
He has no chance of recovering.,그는 회복될 가능성이 없습니다.
I already know you did that.,네가 그것을 했다는 것을 이미 알고 있다.
I've got proof right here.,바로 여기서 증거를 잡았어.
Be careful not to catch a cold.,감기 걸리지 않도록 조심하세요.
How many more people do you expect?,얼마나 더 많은 사람을 예상하고 있어?
You finally succeeded in getting a job.,당신은 마침내 취직에 성공했다.
What in the world is this?,이게 대체 뭐야?
When is your birthday?,당신의 생일은 언제인가요?
Get lost.,꺼져.
Why is the store closed?,이 가게는 왜 폐업했나요?
Where's the subway station?,지하철은 어디에 있어?
Who cares?,누가 신경써?
You must keep your hands clean.,손을 깨끗히 해야 한다.
This is just my personal opinion.,이건 그저 제 의견입니다.
You're both liars.,너희 둘 다 거짓말쟁이다.
He's doing his best.,그는 최선을 다한다.
I don't think that it's weird at all.,난 그게 전혀 이상하다고 생각 안 해.
This is a lot more fun than studying.,이게 공부하는 것보다 훨씬 더 재미있어.
I want him to solve the problem.,나는 그가 문제를 해결했으면 한다.
I'm good at cooking.,나는 요리를 잘한다.
Would you mind if I helped?,내가 도와도 괜찮겠니?
The price of oil is down this week.,기름 가격은 이번 주에 떨어졌다.
It could be true.,진짜일 수도 있어.
I know Tom is autistic.,난 톰이 자폐증이란 걸 알고 있어.
I saw him last week.,나는 지난주에 그를 만났다.
We're all in the same boat.,우리는 모두 같은 배를 탔다.
He fell from the tree.,그는 나무에서 떨어졌다.
What in the world happened here?,세상에 여기서 무슨 일이 일어난 거지?
My English teacher recommended that I read these books.,나의 영어 선생님이 나에게 그 책을 읽으라고 추천하셨다.
That's your responsibility.,그건 네 책임이야.
"Would you pass me the salt, please?",소금 좀 건네줄래?
Tom is a very dedicated actor.,톰은 아주 헌신적인 배우야.
Is there anything more romantic than a picnic?,소풍하는 것보다 더 로맨틱한 것이 있긴 해?
"Don't lie anymore, OK?","더 이상 거짓말 하지마, 알았어?"
You have to take the bull by the horns.,황소를 잡을 때는 뿔 부분을 잡아야 한다.
I really can't talk right now.,지금 당장은 대화할 시간이 없네.
All the doctor's efforts were in vain and the man soon died.,"의사의 모든 노력이 헛수고로 돌아가고, 그 남자는 곧 세상을 떠났다."
This is free.,무료입니다.
Be patient.,인내심을 가져.
What kind of work do you do?,어떤 종류의 일을 하세요?
Tom is a very dedicated teacher.,톰은 아주 헌신적인 선생님이야.
This sentence isn't useful for language learners.,이 문장은 언어 학습자에게 별로 도움이 되지 않는다.
Are you still single?,너 아직 솔로야?
Tom wants to learn how to play piano.,톰은 피아노 치는 법을 배우고 싶어해.
I think I can speak French well enough to say pretty much anything I want to say.,나는 내가 말하고 싶은 것은 거의 다 말할 수 있을 정도로 불어를 잘 한다고 생각한다.
Why is the baby crying?,애가 왜 우는 거야?
This sounds familiar.,귀에 익은 소리인걸.
You have to stop drinking.,당신은 그만 마셔야 한다.
Tom laughed.,톰이 웃었어.
